Customer ID,Order ID,Product,Units Sold,Date,Revenue,Cost
3,266868,Chocolate Chip, 292 ,2/1/2020,1460,584
3,140794,Chocolate Chip, 974 ,2/1/2020,4870,1948
3,684759,Chocolate Chip," 2,518 ",6/1/2020,12590,5036
4,640447,Chocolate Chip," 1,006 ",6/1/2020,5030,2012
2,898637,Chocolate Chip, 367 ,7/1/2020,1835,734
5,889571,Chocolate Chip, 883 ,8/1/2020,4415,1766
1,738711,Chocolate Chip, 549 ,9/1/2019,2745,1098
5,505339,Chocolate Chip, 788 ,9/1/2019,3940,1576
5,703997,Chocolate Chip," 2,472 ",9/1/2020,12360,4944
2,308620,Chocolate Chip," 1,143 ",10/1/2020,5715,2286
4,289811,Chocolate Chip," 1,725 ",11/1/2019,8625,3450
1,144696,Chocolate Chip, 912 ,11/1/2019,4560,1824
5,529550,Chocolate Chip," 2,152 ",12/1/2019,10760,4304
4,481875,Chocolate Chip," 1,817 ",12/1/2020,9085,3634
3,183251,Chocolate Chip," 1,513 ",12/1/2020,7565,3026
4,361305,Chocolate Chip," 3,945 ",1/1/2020,19725,7890
4,579016,Chocolate Chip," 2,296 ",2/1/2020,11480,4592
3,600124,Chocolate Chip," 1,030 ",5/1/2020,5150,2060
3,562219,Chocolate Chip," 1,514 ",2/1/2020,7570,3028
5,283378,Chocolate Chip," 4,493 ",4/1/2020,22462.5,8985
4,885205,Chocolate Chip, 727 ,6/1/2020,3635,1454
3,387444,Chocolate Chip, 787 ,6/1/2020,3935,1574
4,534742,Chocolate Chip," 1,823 ",7/1/2020,9115,3646
2,320688,Chocolate Chip, 747 ,9/1/2020,3735,1494
5,238791,Chocolate Chip, 766 ,10/1/2019,3830,1532
4,160202,Chocolate Chip," 2,905 ",11/1/2020,14525,5810
1,481324,Chocolate Chip," 2,155 ",12/1/2020,10775,4310
4,550816,Chocolate Chip," 2,363 ",2/1/2020,11815,4726
5,770750,Chocolate Chip, 918 ,5/1/2020,4590,1836
3,365463,Chocolate Chip," 1,728 ",5/1/2020,8640,3456
1,234290,Chocolate Chip," 1,142 ",6/1/2020,5710,2284
5,847203,Chocolate Chip, 662 ,6/1/2020,3310,1324
4,776532,Chocolate Chip," 1,295 ",10/1/2020,6475,2590
4,875012,Chocolate Chip, 809 ,10/1/2019,4045,1618
3,505159,Chocolate Chip," 2,145 ",10/1/2019,10725,4290
1,303687,Chocolate Chip," 1,785 ",11/1/2019,8925,3570
5,778039,Chocolate Chip," 1,916 ",12/1/2020,9580,3832
5,177011,Chocolate Chip," 2,852 ",12/1/2020,14260,5704
2,306694,Chocolate Chip," 2,729 ",12/1/2020,13645,5458
5,793514,Chocolate Chip," 1,925 ",12/1/2019,9625,3850
1,780708,Chocolate Chip," 2,013 ",12/1/2019,10065,4026
5,531834,Chocolate Chip," 1,055 ",12/1/2020,5275,2110
3,300303,Chocolate Chip," 1,084 ",12/1/2020,5420,2168
2,859158,Chocolate Chip," 2,435 ",1/1/2020,12172.5,4869
1,779279,Chocolate Chip," 1,774 ",3/1/2020,8870,3548
1,296424,Chocolate Chip," 1,901 ",6/1/2020,9505,3802
3,578401,Chocolate Chip, 689 ,6/1/2020,3445,1378
3,365552,Chocolate Chip," 1,570 ",6/1/2020,7850,3140
